R-LIPO,103.84,59.58,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R-LIPO1,115.27,59.58,50.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R-RTC-CAP,80.23,59.58,135.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,138.00,6.00,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,68.17,63.39,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,138.00,8.00,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,70.70,63.39,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,151.97,50.26,45.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB2,151.97,58.11,135.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,23.99,108.82,180.00,RESET_BUTTON,MYBUTTON
RSPI,6.35,14.24,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RSPI1,11.43,14.24,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RSPI2,16.51,14.24,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RSPI3,21.59,14.24,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RSPI4,26.67,14.24,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RSPI5,31.75,14.24,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RTC-MOD,66.26,49.42,270.00,DS3231SN#,SOIC127P1032X265-16N
R_BOOT,42.83,106.61,45.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,58.83,106.31,45.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,17.83,106.91,45.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SD-CARD,9.63,88.06,270.00,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND
SENSOR,140.52,16.28,270.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ-DISPL,87.92,74.49,180.00,,SJ
TP1,13.96,66.52,0.00,TPTP20R,TP20R
TP10,50.49,47.52,0.00,TPTP20R,TP20R
TP11,8.04,63.52,0.00,TPTP20R,TP20R
TP12,23.14,22.52,0.00,TPTP20R,TP20R
TP13,9.79,25.52,0.00,TPTP20R,TP20R
TP14,18.44,53.52,0.00,TPTP20R,TP20R
TP15,41.09,23.52,0.00,TPTP20R,TP20R
TP16,158.74,39.52,0.00,TPTP20R,TP20R
TP17,62.39,62.52,0.00,TPTP20R,TP20R
TP2,14.88,53.52,0.00,TPTP20R,TP20R
TP3,96.80,54.52,0.00,TPTP20R,TP20R
TP4,3.72,102.52,0.00,TPTP20R,TP20R
TP5,35.64,3.52,0.00,TPTP20R,TP20R
TP6,100.56,36.52,0.00,TPTP20R,TP20R
TP7,49.48,19.52,0.00,TPTP20R,TP20R
TP8,32.49,51.60,0.00,TPTP20R,TP20R
TP9,51.41,50.60,0.00,TPTP20R,TP20R
USBC-ESD,151.97,54.30,180.00,USBLC6-2SC6Y,SOT95P280X145-6N
USBC-ESD1,163.24,54.30,90.00,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA
VOL-SUPER,29.91,92.29,270.00,VOL-SUPER-RES,SOT95P280X125-5N
